id_item,id_pedido,id_produto,quantidade,preco_unitario
1,1,23,3,2165.39
2,1,10,1,3383.35
3,2,6,1,1167.83
4,2,37,2,2970.48
5,2,48,2,181.94
6,2,88,1,2438.35
7,2,29,1,2825.36
8,3,88,2,2438.35
9,4,71,1,2501.52
10,4,41,1,52.79
11,5,53,1,2637.75
12,6,53,2,2637.75
13,6,9,2,915.4
14,6,67,1,1258.12
15,7,35,1,1986.11
16,7,89,4,1328.57
17,7,83,1,2165.91
18,8,61,1,206.76
19,8,82,3,895.82
20,9,46,1,755.63
21,10,64,2,1400.43
22,11,83,2,2165.91
23,11,76,1,379.36
24,11,55,1,585.23
25,12,35,2,1986.11
26,12,79,1,2010.32
27,13,22,3,2169.97
28,14,7,1,2920.0
29,14,80,2,955.74
30,14,78,1,1459.96
31,14,32,1,1851.97
32,15,15,3,2253.4
33,15,6,2,1167.83
34,16,56,1,2924.48
35,16,16,1,137.61
36,17,35,3,1986.11
37,18,11,1,1727.17
38,19,77,1,2101.09
39,19,89,1,1328.57
40,20,5,2,1473.07
41,20,1,1,1309.95
42,20,30,-1,392.32
43,21,63,1,2696.04
44,21,10,1,3383.35
45,22,12,1,2786.41
46,22,10,3,3383.35
47,23,33,-1,950.19
48,24,85,2,1551.88
49,25,6,2,1167.83
50,25,73,1,1375.78
51,26,77,1,2101.09
52,27,22,2,2169.97
53,27,56,1,2924.48
54,28,88,1,2438.35
55,28,79,2,2010.32
56,29,54,1,1405.97
57,29,82,2,895.82
58,30,35,3,1986.11
59,30,17,3,3309.15
60,30,3,1,527.71
61,31,28,1,2849.69
62,31,55,-1,585.23
63,32,53,1,2637.75
64,32,48,1,181.94
65,32,72,2,556.59
66,33,84,1,3321.81
67,34,89,1,1328.57
68,34,77,1,2101.09
69,34,19,1,2951.96
70,35,48,1,181.94
71,35,72,4,556.59
72,35,82,2,895.82
73,35,10,3,3383.35
74,35,64,1,1400.43
75,36,6,1,1167.83
76,36,46,1,755.63
77,36,62,1,2938.49
78,36,71,2,2501.52
79,37,58,1,2649.42
80,38,7,1,2920.0
81,39,67,3,1258.12
82,39,26,3,1862.27
83,39,71,1,2501.52
84,39,22,1,2169.97
85,40,38,2,3006.5
86,41,76,3,379.36
87,42,8,3,2297.94
88,42,51,2,3252.01
89,43,1,1,1309.95
90,43,85,2,1551.88
91,44,61,1,206.76
