id_pagamento,id_pedido,metodo_pagamento,valor_pago,status_pagamento
1,1,Cartão de Crédito,9879.52,Pendente
2,2,Cartão de Crédito,12736.38,Aprovado
3,3,Boleto,4876.7,Aprovado
4,4,Cartão de Crédito,2554.31,Aprovado
5,5,Pix,2637.75,Aprovado
6,6,Cartão de Débito,8364.42,Aprovado
7,7,Pix,9466.3,Aprovado
8,8,Pix,2894.22,Aprovado
9,9,Pix,755.63,Aprovado
10,10,Cartão de Crédito,2800.86,Aprovado
11,11,Pix,5296.41,Aprovado
12,12,Pix,5982.54,Aprovado
13,13,Cartão de Crédito,6509.91,Aprovado
14,14,Pix,8143.41,Aprovado
15,15,Pix,9095.86,Aprovado
16,16,Cartão de Crédito,3062.09,Aprovado
17,17,Cartão de Crédito,5958.33,Aprovado
18,18,Pix,1727.17,Aprovado
19,19,Cartão de Crédito,3429.66,Aprovado
20,20,Cartão de Crédito,4256.09,Pendente
21,21,Boleto,6079.39,Aprovado
22,22,Cartão de Crédito,12936.46,Aprovado
23,23,Pix,0.0,Aprovado
24,24,Cartão de Crédito,3103.76,Pendente
25,25,Pix,3711.44,Aprovado
26,26,Pix,2101.09,Aprovado
27,27,Pix,7264.42,Aprovado
28,28,Pix,6458.99,Aprovado
29,29,Pix,3197.61,Aprovado
30,30,Boleto,16413.49,Aprovado
31,31,Cartão de Crédito,2849.69,Aprovado
32,32,Cartão de Crédito,3932.87,Aprovado
33,33,Pix,3321.81,Aprovado
34,34,Cartão de Crédito,6381.62,Aprovado
35,35,Pix,15750.42,Aprovado
36,36,Cartão de Débito,9864.99,Aprovado
37,37,Cartão de Crédito,2649.42,Aprovado
38,38,Cartão de Crédito,2920.0,Aprovado
39,39,Pix,14032.66,Aprovado
40,40,Cartão de Crédito,6013.0,Pendente
41,41,Pix,1138.08,Aprovado
42,42,Cartão de Crédito,13397.84,Aprovado
43,43,Boleto,4413.71,Aprovado
44,44,Cartão de Débito,206.76,Aprovado
45,45,Cartão de Crédito,2696.04,Aprovado
46,46,Boleto,6766.7,Recusado
47,47,Boleto,1522.73,Aprovado
48,48,Pix,12491.23,Aprovado
49,49,Cartão de Crédito,2970.48,Aprovado
50,50,Cartão de Crédito,18671.56,Recusado
51,51,Boleto,2919.92,Aprovado
52,52,Cartão de Débito,1759.41,Aprovado
53,53,Cartão de Crédito,3553.69,Aprovado
54,54,Cartão de Crédito,5808.48,Aprovado
55,55,Boleto,11153.89,Aprovado
56,56,Cartão de Crédito,3059.16,Aprovado
57,57,Cartão de Crédito,2637.75,Aprovado
58,58,Cartão de Crédito,14372.71,Aprovado
59,59,Boleto,26175.41,Aprovado
60,60,Cartão de Crédito,4147.5,Aprovado
61,61,Cartão de Crédito,12416.59,Aprovado
62,62,Cartão de Crédito,3240.94,Aprovado
63,63,Cartão de Crédito,21833.68,Aprovado
64,64,Boleto,7499.89,Aprovado
65,65,Boleto,5499.06,Aprovado
66,66,Cartão de Crédito,1943.3,Pendente
67,67,Cartão de Crédito,3103.76,Aprovado
68,68,Pix,9547.3,Aprovado
69,69,Pix,8561.78,Aprovado
70,70,Pix,5051.29,Aprovado
71,71,Cartão de Crédito,17407.12,Aprovado
72,72,Pix,52.79,Aprovado
73,73,Cartão de Crédito,3139.81,Aprovado
74,74,Cartão de Crédito,1851.97,Aprovado
75,75,Pix,1340.86,Aprovado
76,76,Pix,4595.88,Aprovado
77,77,Pix,9043.71,Aprovado
78,78,Pix,805.88,Aprovado
79,79,Boleto,10265.42,Aprovado
80,80,Cartão de Crédito,4518.46,Aprovado
81,81,Boleto,15647.6,Aprovado
82,82,Cartão de Crédito,2696.04,Aprovado
83,83,Cartão de Crédito,9110.42,Aprovado
84,84,Pix,7309.48,Aprovado
85,85,Cartão de Crédito,6077.33,Aprovado
86,86,Boleto,7800.85,Aprovado
87,87,Cartão de Crédito,19304.99,Aprovado
88,88,Pix,556.59,Aprovado
89,89,Pix,1862.27,Aprovado
90,90,Pix,5316.04,Aprovado
91,91,Boleto,14086.27,Aprovado
92,92,Cartão de Crédito,8737.2,Aprovado
93,93,Cartão de Débito,10040.77,Pendente
94,94,Pix,2786.41,Pendente
95,95,Pix,3607.89,Aprovado
96,96,Boleto,8118.32,Aprovado
97,97,Cartão de Débito,18848.74,Aprovado
98,98,Cartão de Crédito,10754.25,Aprovado
99,99,Pix,2649.42,Aprovado
100,100,Pix,4092.31,Aprovado
101,101,Pix,4282.1,Aprovado
102,102,Cartão de Crédito,3790.24,Aprovado
103,103,Cartão de Crédito,2750.62,Aprovado
104,104,Boleto,2951.96,Aprovado
105,105,Pix,15796.43,Aprovado
106,106,Cartão de Crédito,4525.21,Aprovado
107,107,Cartão de Débito,6598.23,Aprovado
108,108,Pix,14727.56,Aprovado
109,109,Boleto,2441.81,Aprovado
110,110,Cartão de Débito,5421.84,Aprovado
111,111,Pix,392.32,Aprovado
112,112,Cartão de Crédito,6624.9,Aprovado
113,113,Cartão de Crédito,1943.3,Aprovado
114,114,Pix,1977.49,Aprovado
115,115,Pix,9331.57,Aprovado
116,116,Cartão de Crédito,4250.12,Aprovado
117,117,Pix,3583.28,Aprovado
118,118,Pix,18848.0,Aprovado
119,119,Boleto,123.0,Aprovado
120,120,Pix,2657.14,Pendente
121,121,Cartão de Débito,10855.86,Aprovado
122,122,Cartão de Crédito,2747.52,Aprovado
123,123,Pix,8325.65,Aprovado
124,124,Boleto,10072.29,Aprovado
125,125,Cartão de Crédito,19692.95,Aprovado
126,126,Cartão de Crédito,12401.57,Pendente
127,127,Pix,11393.47,Aprovado
128,128,Boleto,12466.72,Aprovado
129,129,Boleto,1986.11,Pendente
130,130,Cartão de Crédito,13982.32,Aprovado
131,131,Cartão de Crédito,1318.12,Aprovado
132,132,Pix,5706.41,Aprovado
133,133,Pix,3147.52,Aprovado
134,134,Pix,19401.84,Aprovado
135,135,Cartão de Crédito,5392.08,Aprovado
136,136,Boleto,11406.82,Aprovado
137,137,Boleto,18137.13,Aprovado
138,138,Pix,3333.04,Aprovado
139,139,Cartão de Crédito,1986.11,Aprovado
140,140,Pix,12858.09,Aprovado
141,141,Pix,2586.43,Aprovado
142,142,Cartão de Crédito,4840.6,Aprovado
143,143,Cartão de Débito,6030.96,Aprovado
144,144,Pix,2747.79,Aprovado
145,145,Cartão de Débito,7828.97,Aprovado
146,146,Cartão de Crédito,3005.6,Pendente
147,147,Cartão de Crédito,7188.93,Aprovado
148,148,Boleto,4158.97,Aprovado
149,149,Boleto,9909.66,Aprovado
150,150,Cartão de Crédito,13359.23,Aprovado
151,151,Cartão de Crédito,915.4,Pendente
152,152,Pix,2700.88,Aprovado
153,153,Pix,6390.56,Aprovado
154,154,Cartão de Crédito,18726.67,Aprovado
155,155,Pix,1791.64,Aprovado
156,156,Pix,6170.14,Aprovado
157,157,Cartão de Crédito,3108.59,Aprovado
158,158,Pix,2169.97,Aprovado
159,159,Pix,5181.51,Aprovado
160,160,Cartão de Crédito,18001.15,Pendente
161,161,Cartão de Crédito,5940.96,Aprovado
162,162,Cartão de Débito,6030.96,Aprovado
163,163,Cartão de Crédito,3006.5,Aprovado
164,164,Cartão de Débito,15027.89,Aprovado
165,165,Cartão de Crédito,5331.7,Pendente
166,166,Cartão de Crédito,8916.24,Aprovado
167,167,Cartão de Crédito,8881.72,Aprovado
168,168,Cartão de Crédito,5876.98,Aprovado
169,169,Cartão de Débito,8841.02,Aprovado
170,170,Pix,9419.43,Aprovado
171,171,Pix,1532.57,Aprovado
172,172,Pix,13996.98,Aprovado
173,173,Cartão de Crédito,6013.0,Aprovado
174,174,Cartão de Crédito,379.36,Aprovado
175,175,Boleto,11134.93,Aprovado
176,176,Cartão de Crédito,15446.27,Aprovado
177,177,Pix,8848.88,Aprovado
178,178,Cartão de Crédito,19267.02,Aprovado
179,179,Cartão de Crédito,5852.0,Aprovado
180,180,Cartão de Crédito,3559.7,Aprovado
181,181,Cartão de Crédito,2649.42,Aprovado
182,182,Pix,950.19,Aprovado
183,183,Cartão de Crédito,590.37,Pendente
184,184,Pix,4966.09,Aprovado
185,185,Pix,10801.32,Aprovado
186,186,Pix,14153.34,Pendente
187,187,Cartão de Crédito,11594.8,Aprovado
188,188,Pix,5275.5,Aprovado
189,189,Pix,5323.34,Aprovado
190,190,Cartão de Crédito,6279.62,Aprovado
191,191,Cartão de Crédito,8395.92,Aprovado
192,192,Cartão de Crédito,8258.44,Aprovado
193,193,Pix,2946.14,Aprovado
194,194,Cartão de Débito,2857.05,Aprovado
195,195,Pix,11490.73,Aprovado
196,196,Cartão de Crédito,527.71,Aprovado
197,197,Cartão de Crédito,10496.23,Aprovado
198,198,Pix,2473.95,Aprovado
199,199,Pix,1896.45,Aprovado
200,200,Cartão de Crédito,11638.4,Aprovado
201,201,Cartão de Crédito,3784.15,Aprovado
202,202,Cartão de Crédito,8865.35,Aprovado
203,203,Cartão de Débito,3949.82,Aprovado
204,204,Boleto,1779.85,Aprovado
205,205,Cartão de Crédito,7195.1,Aprovado
206,206,Cartão de Crédito,9894.5,Aprovado
207,207,Cartão de Crédito,3210.71,Aprovado
208,208,Cartão de Crédito,2016.06,Aprovado
209,209,Cartão de Crédito,7231.56,Aprovado
210,210,Cartão de Crédito,13533.81,Aprovado
211,211,Boleto,10038.16,Recusado
212,212,Pix,2924.48,Aprovado
213,213,Boleto,4657.22,Aprovado
214,214,Cartão de Crédito,5298.84,Aprovado
215,215,Pix,7013.09,Aprovado
216,216,Cartão de Crédito,2825.36,Aprovado
217,217,Cartão de Crédito,1551.88,Aprovado
218,218,Pix,4820.31,Aprovado
219,219,Cartão de Crédito,5661.75,Aprovado
220,220,Boleto,2938.49,Recusado
221,221,Cartão de Crédito,11455.78,Aprovado
222,222,Cartão de Crédito,8695.4,Aprovado
223,223,Pix,7865.26,Recusado
224,224,Pix,3139.81,Pendente
225,225,Pix,4760.24,Aprovado
226,226,Pix,13431.21,Aprovado
227,227,Cartão de Crédito,3210.71,Aprovado
228,228,Cartão de Crédito,7024.96,Aprovado
229,229,Pix,5573.29,Aprovado
230,230,Pix,1167.83,Aprovado
231,231,Cartão de Crédito,7315.05,Aprovado
232,232,Pix,17535.51,Aprovado
233,233,Cartão de Débito,2000.59,Aprovado
234,234,Boleto,3559.7,Pendente
235,235,Cartão de Crédito,8048.05,Aprovado
236,236,Boleto,4697.78,Aprovado
237,237,Pix,6651.02,Aprovado
238,238,Pix,7213.6,Aprovado
239,239,Boleto,2846.75,Aprovado
240,240,Cartão de Crédito,6731.62,Aprovado
241,241,Pix,556.59,Aprovado
242,242,Pix,3474.1,Aprovado
243,243,Pix,5298.84,Aprovado
244,244,Pix,9344.5,Aprovado
245,245,Pix,7721.0,Aprovado
246,246,Boleto,4160.9,Aprovado
247,247,Cartão de Crédito,6011.2,Aprovado
248,248,Cartão de Crédito,5522.74,Aprovado
249,249,Cartão de Crédito,2800.86,Aprovado
250,250,Pix,6504.02,Aprovado
251,251,Cartão de Crédito,17795.06,Aprovado
252,252,Cartão de Crédito,9671.36,Aprovado
253,253,Pix,13344.56,Aprovado
254,254,Boleto,2657.14,Pendente
255,255,Cartão de Crédito,4217.91,Aprovado
256,256,Pix,25454.34,Aprovado
257,257,Cartão de Crédito,1473.07,Aprovado
258,258,Pix,6504.02,Aprovado
259,259,Cartão de Crédito,413.52,Aprovado
260,260,Cartão de Crédito,4154.16,Aprovado
261,261,Cartão de Crédito,7371.69,Aprovado
262,262,Pix,6857.37,Recusado
263,263,Boleto,20438.7,Pendente
264,264,Pix,7828.66,Aprovado
265,265,Cartão de Crédito,2936.7,Aprovado
266,266,Pix,10341.98,Aprovado
267,267,Cartão de Crédito,16156.7,Pendente
268,268,Cartão de Débito,13801.37,Aprovado
269,269,Boleto,3474.1,Aprovado
270,270,Pix,7772.41,Aprovado
271,271,Cartão de Crédito,2825.36,Aprovado
272,272,Cartão de Crédito,8662.68,Aprovado
273,273,Cartão de Crédito,1862.27,Aprovado
274,274,Cartão de Crédito,9482.3,Aprovado
275,275,Pix,4999.32,Aprovado
276,276,Cartão de Crédito,1522.73,Aprovado
277,277,Pix,4816.82,Aprovado
278,278,Boleto,11475.86,Aprovado
279,279,Pix,5053.18,Aprovado
280,280,Pix,4436.36,Pendente
281,281,Cartão de Débito,1674.88,Aprovado
282,282,Pix,955.74,Aprovado
283,283,Pix,895.82,Pendente
284,284,Cartão de Crédito,7987.66,Aprovado
285,285,Cartão de Crédito,12965.77,Pendente
286,286,Cartão de Crédito,14261.59,Pendente
287,287,Cartão de Crédito,10055.66,Aprovado
288,288,Pix,1567.58,Recusado
289,289,Cartão de Crédito,9284.48,Aprovado
290,290,Pix,5190.13,Aprovado
291,291,Cartão de Crédito,1405.97,Pendente
292,292,Cartão de Crédito,9059.04,Aprovado
293,293,Pix,1093.35,Aprovado
294,294,Cartão de Crédito,10788.33,Aprovado
295,295,Boleto,4329.21,Aprovado
296,296,Cartão de Débito,3234.65,Aprovado
297,297,Pix,805.88,Pendente
298,298,Cartão de Crédito,17984.57,Pendente
299,299,Boleto,12559.24,Aprovado
300,300,Cartão de Crédito,10732.0,Aprovado
301,301,Cartão de Crédito,6526.19,Aprovado
302,302,Cartão de Crédito,17754.34,Aprovado
303,303,Cartão de Crédito,19793.31,Aprovado
304,304,Cartão de Crédito,11378.83,Aprovado
305,305,Cartão de Crédito,6598.94,Aprovado
306,306,Cartão de Crédito,3086.07,Recusado
307,307,Pix,2210.67,Aprovado
308,308,Pix,3922.4,Recusado
309,309,Pix,8348.79,Aprovado
310,310,Cartão de Crédito,3309.15,Aprovado
311,311,Boleto,10591.3,Aprovado
312,312,Pix,12461.96,Aprovado
313,313,Pix,13981.74,Aprovado
314,314,Pix,11697.92,Aprovado
315,315,Cartão de Crédito,1862.27,Aprovado
316,316,Boleto,1977.49,Aprovado
317,317,Pix,1762.66,Aprovado
318,318,Boleto,3005.6,Aprovado
319,319,Pix,1258.12,Aprovado
320,320,Cartão de Crédito,8803.78,Aprovado
321,321,Cartão de Crédito,379.36,Aprovado
322,322,Cartão de Crédito,10901.14,Aprovado
323,323,Pix,7123.79,Aprovado
324,324,Pix,556.59,Aprovado
325,325,Cartão de Crédito,137.61,Aprovado
326,326,Cartão de Crédito,7966.6,Aprovado
327,327,Cartão de Crédito,7804.3,Pendente
328,328,Cartão de Crédito,1328.57,Aprovado
329,329,Cartão de Crédito,7807.0,Aprovado
330,330,Pix,4121.44,Aprovado
331,331,Cartão de Crédito,10685.48,Aprovado
332,332,Pix,2253.4,Aprovado
333,333,Cartão de Débito,2938.49,Pendente
334,334,Pix,16992.38,Aprovado
335,335,Pix,14502.41,Aprovado
336,336,Cartão de Débito,2749.53,Aprovado
337,337,Cartão de Crédito,21136.14,Aprovado
338,338,Cartão de Crédito,2568.26,Aprovado
339,339,Boleto,4929.45,Recusado
340,340,Cartão de Crédito,2568.01,Aprovado
341,341,Cartão de Débito,1309.95,Recusado
342,342,Pix,0.0,Aprovado
343,343,Cartão de Débito,8438.92,Aprovado
344,344,Pix,8082.2,Aprovado
345,345,Pix,11779.94,Aprovado
346,346,Cartão de Crédito,950.19,Recusado
347,347,Cartão de Crédito,21524.87,Aprovado
348,348,Cartão de Crédito,2637.75,Aprovado
349,349,Boleto,4509.02,Aprovado
350,350,Boleto,14426.49,Aprovado
351,351,Pix,5359.6,Pendente
352,352,Cartão de Crédito,1309.95,Aprovado
353,353,Pix,5247.72,Aprovado
354,354,Boleto,26067.54,Aprovado
355,355,Cartão de Crédito,15070.99,Aprovado
356,356,Cartão de Crédito,7279.7,Aprovado
357,357,Cartão de Débito,10480.61,Aprovado
358,358,Cartão de Crédito,19120.32,Aprovado
359,359,Cartão de Crédito,4154.16,Aprovado
360,360,Pix,1779.85,Aprovado
361,361,Cartão de Crédito,4803.84,Aprovado
362,362,Boleto,19078.81,Aprovado
363,363,Cartão de Crédito,22398.9,Aprovado
364,364,Cartão de Crédito,1977.49,Aprovado
365,365,Cartão de Crédito,2010.32,Aprovado
366,366,Cartão de Crédito,690.56,Aprovado
367,367,Pix,2686.32,Aprovado
368,368,Boleto,5535.78,Aprovado
369,369,Cartão de Crédito,105.58,Aprovado
370,370,Cartão de Crédito,4901.52,Aprovado
371,371,Pix,1791.64,Aprovado
372,372,Cartão de Crédito,4886.66,Aprovado
373,373,Cartão de Crédito,6803.93,Aprovado
374,374,Pix,11855.84,Aprovado
375,375,Boleto,2297.94,Aprovado
376,376,Pix,1400.43,Aprovado
377,377,Cartão de Crédito,1943.3,Pendente
378,378,Cartão de Crédito,9355.61,Aprovado
379,379,Boleto,15402.9,Aprovado
380,380,Cartão de Crédito,12892.37,Recusado
381,381,Pix,3625.35,Aprovado
382,382,Pix,7100.09,Aprovado
383,383,Cartão de Crédito,14280.45,Aprovado
384,384,Boleto,52.79,Aprovado
385,385,Boleto,13571.53,Aprovado
386,386,Cartão de Crédito,2679.8,Aprovado
387,387,Pix,12269.63,Aprovado
388,388,Pix,7116.73,Pendente
389,389,Cartão de Débito,8623.15,Aprovado
390,390,Cartão de Crédito,12202.04,Aprovado
391,391,Cartão de Crédito,5360.84,Aprovado
392,392,Cartão de Crédito,12652.09,Aprovado
393,393,Cartão de Crédito,8693.78,Aprovado
394,394,Cartão de Crédito,4804.47,Pendente
395,395,Pix,12925.56,Pendente
396,396,Cartão de Crédito,5028.11,Pendente
397,397,Pix,7809.98,Pendente
398,398,Cartão de Crédito,3474.1,Aprovado
399,399,Pix,123.0,Aprovado
400,400,Cartão de Débito,9533.48,Aprovado
401,401,Pix,2319.04,Aprovado
402,402,Pix,10534.84,Aprovado
403,403,Cartão de Crédito,6279.62,Aprovado
404,404,Pix,2751.56,Aprovado
405,405,Cartão de Crédito,6634.78,Aprovado
406,406,Pix,3240.94,Aprovado
407,407,Pix,8725.41,Aprovado
408,408,Pix,6545.72,Aprovado
409,409,Cartão de Crédito,3180.39,Aprovado
410,410,Pix,11163.16,Aprovado
411,411,Boleto,7600.11,Aprovado
412,412,Boleto,2169.97,Aprovado
413,413,Pix,1567.58,Aprovado
414,414,Boleto,9915.59,Aprovado
415,415,Pix,4775.69,Aprovado
416,416,Pix,690.56,Aprovado
417,417,Pix,5586.81,Aprovado
418,418,Cartão de Débito,1862.27,Aprovado
419,419,Cartão de Crédito,9651.33,Aprovado
420,420,Cartão de Crédito,9876.51,Aprovado
421,421,Pix,3387.75,Aprovado
422,422,Cartão de Crédito,11515.67,Aprovado
423,423,Pix,6504.02,Aprovado
424,424,Cartão de Crédito,3321.81,Aprovado
425,425,Cartão de Crédito,9747.09,Pendente
426,426,Boleto,5876.98,Pendente
427,427,Pix,6613.57,Aprovado
428,428,Pix,8932.89,Aprovado
429,429,Cartão de Crédito,9359.54,Aprovado
430,430,Cartão de Crédito,10150.05,Aprovado
431,431,Cartão de Crédito,4949.8,Aprovado
432,432,Cartão de Crédito,13329.11,Aprovado
433,433,Pix,1473.07,Aprovado
434,434,Cartão de Crédito,2721.67,Aprovado
435,435,Cartão de Crédito,2653.99,Aprovado
436,436,Pix,690.56,Recusado
437,437,Cartão de Crédito,4513.76,Aprovado
438,438,Pix,2172.68,Aprovado
439,439,Cartão de Crédito,4113.27,Aprovado
440,440,Cartão de Crédito,1614.18,Aprovado
441,441,Cartão de Crédito,3139.81,Pendente
442,442,Boleto,11257.41,Aprovado
443,443,Pix,5619.9,Aprovado
444,444,Cartão de Crédito,1318.12,Aprovado
445,445,Cartão de Crédito,3116.97,Aprovado
446,446,Cartão de Crédito,2526.59,Aprovado
447,447,Pix,5960.24,Aprovado
448,448,Cartão de Crédito,12961.2,Aprovado
449,449,Pix,21122.41,Aprovado
450,450,Pix,4607.6,Aprovado
451,451,Cartão de Crédito,11162.84,Pendente
452,452,Pix,1375.78,Aprovado
453,453,Pix,3584.08,Aprovado
454,454,Cartão de Débito,4252.25,Aprovado
455,455,Cartão de Crédito,7994.26,Aprovado
456,456,Pix,0.0,Aprovado
457,457,Pix,5087.77,Aprovado
458,458,Cartão de Crédito,14490.03,Aprovado
459,459,Cartão de Crédito,2010.32,Aprovado
460,460,Cartão de Crédito,8830.52,Aprovado
461,461,Pix,17841.74,Aprovado
462,462,Cartão de Crédito,2169.97,Aprovado
463,463,Cartão de Crédito,2619.9,Aprovado
464,464,Cartão de Crédito,4638.08,Pendente
465,465,Pix,3525.32,Aprovado
466,466,Pix,5271.52,Aprovado
467,467,Boleto,206.76,Aprovado
468,468,Boleto,7573.96,Aprovado
469,469,Boleto,1996.09,Aprovado
470,470,Cartão de Crédito,6330.85,Aprovado
471,471,Pix,4261.64,Aprovado
472,472,Pix,13347.3,Aprovado
473,473,Cartão de Crédito,8412.17,Aprovado
474,474,Cartão de Crédito,345.28,Aprovado
475,475,Pix,363.88,Aprovado
476,476,Pix,4020.64,Aprovado
477,477,Pix,4932.59,Pendente
478,478,Cartão de Crédito,11051.15,Aprovado
479,479,Pix,4993.96,Recusado
480,480,Pix,9773.2,Aprovado
481,481,Pix,950.19,Pendente
482,482,Cartão de Crédito,123.0,Aprovado
483,483,Pix,8278.16,Aprovado
484,484,Cartão de Crédito,8322.35,Aprovado
485,485,Boleto,5286.52,Aprovado
486,486,Pix,4384.44,Aprovado
487,487,Cartão de Crédito,1473.07,Aprovado
488,488,Pix,2657.85,Pendente
489,489,Cartão de Débito,10278.1,Aprovado
490,490,Cartão de Crédito,1957.02,Aprovado
491,491,Cartão de Crédito,4092.31,Aprovado
492,492,Boleto,4632.34,Aprovado
493,493,Pix,13414.7,Aprovado
494,494,Boleto,13332.27,Recusado
495,495,Pix,6789.68,Aprovado
496,496,Cartão de Crédito,11695.62,Aprovado
497,497,Cartão de Crédito,2649.42,Recusado
498,498,Pix,18963.99,Aprovado
499,499,Cartão de Crédito,1405.97,Pendente
500,500,Cartão de Crédito,1113.18,Aprovado
501,501,Cartão de Crédito,6071.43,Aprovado
502,502,Cartão de Débito,1328.57,Aprovado
503,503,Pix,9790.47,Aprovado
504,504,Cartão de Crédito,6606.49,Aprovado
505,505,Pix,4903.92,Aprovado
506,506,Cartão de Crédito,10923.18,Pendente
507,507,Boleto,11328.64,Aprovado
508,508,Cartão de Crédito,10267.75,Aprovado
509,509,Pix,4595.88,Aprovado
510,510,Pix,5640.36,Aprovado
511,511,Boleto,7083.33,Aprovado
512,512,Cartão de Crédito,2165.91,Aprovado
513,513,Boleto,2783.37,Aprovado
514,514,Cartão de Crédito,1170.46,Pendente
515,515,Boleto,585.23,Aprovado
516,516,Cartão de Crédito,3365.81,Aprovado
517,517,Pix,5446.05,Aprovado
518,518,Pix,10097.43,Aprovado
519,519,Cartão de Crédito,12540.98,Aprovado
520,520,Cartão de Crédito,10270.01,Aprovado
521,521,Cartão de Débito,12679.36,Aprovado
522,522,Cartão de Crédito,27226.98,Aprovado
523,523,Cartão de Débito,8289.37,Aprovado
524,524,Pix,6217.18,Aprovado
525,525,Cartão de Crédito,7146.22,Aprovado
526,526,Cartão de Crédito,1862.27,Recusado
527,527,Cartão de Débito,784.64,Aprovado
528,528,Cartão de Crédito,3309.15,Aprovado
529,529,Pix,13053.96,Aprovado
530,530,Pix,13339.01,Aprovado
531,531,Cartão de Crédito,4876.7,Aprovado
532,532,Boleto,4267.06,Aprovado
533,533,Boleto,1977.49,Aprovado
534,534,Cartão de Crédito,2849.69,Aprovado
535,535,Pix,20239.11,Aprovado
536,536,Pix,1309.95,Aprovado
537,537,Boleto,11272.98,Aprovado
538,538,Pix,6766.7,Aprovado
539,539,Cartão de Débito,18356.76,Aprovado
540,540,Pix,1167.83,Pendente
541,541,Pix,8517.86,Aprovado
542,542,Cartão de Crédito,2000.51,Recusado
543,543,Boleto,2746.2,Aprovado
544,544,Pix,6705.16,Pendente
545,545,Pix,9132.66,Aprovado
546,546,Cartão de Crédito,2526.59,Aprovado
547,547,Cartão de Crédito,13122.59,Aprovado
548,548,Boleto,2417.64,Aprovado
549,549,Cartão de Crédito,3005.6,Pendente
550,550,Pix,379.36,Aprovado
551,551,Pix,6101.91,Aprovado
552,552,Cartão de Crédito,9999.72,Aprovado
553,553,Pix,14305.37,Aprovado
554,554,Pix,2524.17,Aprovado
555,555,Cartão de Crédito,527.71,Pendente
556,556,Boleto,6425.36,Aprovado
557,557,Boleto,1551.88,Aprovado
558,558,Cartão de Crédito,5516.56,Aprovado
559,559,Cartão de Crédito,2649.42,Aprovado
560,560,Boleto,4828.55,Recusado
561,561,Cartão de Crédito,5966.06,Aprovado
562,562,Cartão de Débito,5902.79,Aprovado
563,563,Cartão de Crédito,5844.36,Aprovado
564,564,Cartão de Crédito,4160.87,Aprovado
565,565,Cartão de Crédito,2860.39,Aprovado
566,566,Cartão de Crédito,3139.81,Aprovado
567,567,Boleto,4702.74,Aprovado
568,568,Cartão de Crédito,3954.98,Aprovado
569,569,Cartão de Crédito,3858.5,Aprovado
570,570,Cartão de Crédito,3321.81,Pendente
571,571,Cartão de Crédito,15870.28,Aprovado
572,572,Boleto,20331.0,Recusado
573,573,Pix,10508.31,Aprovado
574,574,Cartão de Crédito,5489.34,Aprovado
575,575,Pix,6073.72,Aprovado
576,576,Pix,6731.62,Pendente
577,577,Cartão de Crédito,5623.88,Aprovado
578,578,Cartão de Crédito,9753.4,Aprovado
579,579,Cartão de Crédito,4819.59,Aprovado
580,580,Cartão de Crédito,3108.59,Pendente
581,581,Cartão de Débito,15283.89,Aprovado
582,582,Pix,6240.72,Aprovado
583,583,Cartão de Débito,4025.87,Aprovado
584,584,Pix,4044.53,Aprovado
585,585,Cartão de Crédito,3321.81,Recusado
586,586,Cartão de Crédito,16304.37,Aprovado
587,587,Boleto,6987.85,Aprovado
588,588,Cartão de Crédito,2016.06,Aprovado
589,589,Boleto,2849.69,Aprovado
590,590,Cartão de Crédito,1551.88,Aprovado
591,591,Boleto,2679.8,Aprovado
