id_pedido,id_cliente,data_pedido,status_pedido
1,140,2024-07-17,Cancelado
2,119,2024-12-26,Entregue
3,178,2023-09-05,Entregue
4,184,2023-03-17,Enviado
5,123,2024-08-19,Entregue
6,178,2023-03-29,Entregue
7,169,2024-11-11,Em processamento
8,157,2024-03-16,Entregue
9,67,2024-12-05,Entregue
10,96,2024-11-26,Entregue
11,39,2024-05-09,Entregue
12,22,2023-05-26,Entregue
13,117,2023-12-23,Entregue
14,185,2024-12-14,Entregue
15,77,2023-04-28,Entregue
16,166,2024-07-19,Enviado
17,110,2024-04-18,Entregue
18,162,2023-07-08,Em processamento
19,111,2024-02-10,Enviado
20,51,2024-02-03,Entregue
21,53,2024-07-03,Entregue
22,51,2024-04-13,Em processamento
23,126,2023-11-17,Enviado
24,101,2024-08-24,Entregue
25,118,2024-09-24,Em processamento
26,181,2023-11-01,Enviado
27,22,2024-11-19,Entregue
28,62,2023-11-09,Entregue
29,178,2023-05-25,Entregue
30,153,2023-05-22,Entregue
31,48,2024-05-16,Entregue
32,81,2024-05-11,Entregue
33,144,2023-08-14,Entregue
34,9,2023-10-09,Entregue
35,44,2024-05-22,Entregue
36,147,2023-04-27,Entregue
37,94,2024-03-11,Em processamento
38,64,2023-11-01,Entregue
39,116,2023-09-27,Entregue
40,113,2023-08-31,Cancelado
41,151,2024-12-06,Em processamento
42,157,2024-10-09,Enviado
43,36,2024-06-29,Entregue
44,44,2023-11-28,Entregue
45,75,2024-08-09,Entregue
46,174,2023-04-08,Cancelado
47,106,2024-11-02,Entregue
48,64,2024-11-23,Entregue
49,148,2024-10-09,Entregue
50,97,2024-04-07,Cancelado
51,24,2024-05-14,Entregue
52,24,2024-12-15,Entregue
53,137,2024-02-12,Entregue
54,55,2024-05-21,Entregue
55,87,2023-02-19,Enviado
56,118,2023-01-17,Entregue
57,113,2024-04-12,Entregue
58,52,2024-10-27,Entregue
59,24,2024-11-01,Entregue
60,96,2024-11-11,Entregue
61,14,2024-12-21,Entregue
62,123,2023-03-21,Entregue
63,133,2024-11-27,Entregue
64,179,2024-05-04,Entregue
65,23,2023-04-15,Entregue
66,77,2023-05-21,Cancelado
67,35,2023-05-27,Enviado
68,3,2024-03-26,Entregue
69,161,2023-08-11,Entregue
70,36,2023-05-07,Entregue
71,90,2024-03-15,Entregue
72,64,2024-12-08,Em processamento
73,78,2024-06-05,Entregue
74,76,2024-10-23,Entregue
75,127,2024-01-31,Entregue
76,164,2024-08-31,Entregue
77,93,2023-11-21,Enviado
78,108,2023-03-16,Entregue
79,4,2023-09-26,Entregue
80,102,2024-06-02,Em processamento
81,129,2024-03-01,Entregue
82,22,2024-09-22,Entregue
83,80,2023-03-09,Entregue
84,179,2023-09-02,Entregue
85,112,2023-04-29,Enviado
86,15,2023-11-13,Em processamento
87,45,2023-05-03,Entregue
88,180,2023-01-12,Entregue
89,134,2023-09-23,Entregue
90,69,2023-01-31,Entregue
91,70,2024-06-20,Em processamento
92,148,2024-10-04,Entregue
93,131,2024-01-04,Enviado
94,43,2024-01-12,Cancelado
95,27,2023-04-29,Entregue
96,1,2023-01-13,Entregue
97,94,2024-11-02,Entregue
98,64,2023-11-24,Entregue
99,147,2024-01-17,Em processamento
100,14,2023-07-03,Entregue
101,12,2024-02-15,Entregue
102,73,2023-11-15,Enviado
103,117,2023-01-09,Entregue
104,145,2023-11-08,Entregue
105,119,2023-09-09,Entregue
106,7,2023-11-11,Entregue
107,53,2023-04-06,Entregue
108,134,2024-06-01,Entregue
109,20,2023-05-14,Entregue
110,81,2023-12-01,Entregue
111,60,2024-08-21,Entregue
112,43,2024-02-21,Entregue
113,54,2024-04-07,Entregue
