id_produto,nome_produto,id_categoria,preco,ativo
1,Fone de Ouvido Bluetooth,1,1309.95,1
2,Caixa de Som Portátil,1,1977.49,1
3,Smartwatch,1,527.71,1
4,TV LED 43'',1,3272.86,1
5,TV LED 50'',1,1473.07,1
6,Soundbar,1,1167.83,1
7,Câmera de Segurança,1,2920.0,1
8,Carregador Portátil 10000mAh,1,2297.94,1
9,Notebook 15'',2,915.4,1
10,Mouse sem Fio,2,3383.35,1
11,Teclado Mecânico,2,1727.17,1
12,Monitor 24'',2,2786.41,1
13,SSD 480GB,2,2526.59,1
14,HD Externo 1TB,2,3210.71,1
15,Webcam Full HD,2,2253.4,1
16,Cadeira Gamer,2,137.61,1
17,Smartphone 128GB,3,3309.15,1
18,Smartphone 256GB,3,2679.8,1
19,Capinha de Celular,3,2951.96,1
20,Película de Vidro,3,2480.85,0
21,Fone com Fio,3,1779.85,1
22,Carregador Turbo,3,2169.97,1
23,Camiseta Básica,4,2165.39,1
24,Calça Jeans,4,1717.63,0
25,Jaqueta Corta-Vento,4,1939.62,0
26,Bermuda,4,1862.27,1
27,Tênis Casual,4,3421.53,0
28,Boné,4,2849.69,1
29,Vestido Casual,5,2825.36,1
30,Blusa Feminina,5,392.32,1
31,Calça Legging,5,538.06,1
32,Sandália,5,1851.97,1
33,Bolsa Transversal,5,950.19,1
34,Óculos de Sol,5,1318.12,1
35,Jogo de Panelas,6,1986.11,1
36,Kit de Toalhas,6,805.88,1
37,Luminária de Mesa,6,2970.48,1
38,Almofada Decorativa,6,3006.5,1
39,Tapete para Sala,6,345.28,1
40,Organizador de Gaveta,6,1943.3,1
41,Liquidificador,7,52.79,1
42,Air Fryer 4L,7,1759.41,1
43,Cafeteira Elétrica,7,2749.53,1
44,Ferro de Passar,7,3005.6,1
45,Aspirador de Pó Portátil,7,1857.89,0
46,Ventilador de Mesa,7,755.63,1
47,Bicicleta Aro 29,8,3108.59,1
48,Bola de Futebol,8,181.94,1
49,Kit Halteres,8,3240.94,1
50,Tapete de Yoga,8,1980.91,0
51,Garrafa Térmica,8,3252.01,1
52,Mochila Esportiva,8,3365.81,1
53,Romance Best-seller,9,2637.75,1
54,Livro de Autoajuda,9,1405.97,1
55,Livro Técnico de TI,9,585.23,1
56,Quadrinhos,9,2924.48,1
57,Livro Infantil,9,3139.81,1
58,Perfume 100ml,10,2649.42,1
59,Kit Shampoo e Condicionador,10,3459.8,1
60,Creme Hidratante,10,1762.66,1
61,Batom Matte,10,206.76,1
62,Secador de Cabelo,10,2938.49,1
63,Boneca Articulada,11,2696.04,1
64,Carrinho de Controle Remoto,11,1400.43,1
65,Quebra-Cabeça 500pçs,11,123.0,1
66,Jogo de Tabuleiro,11,3474.1,1
67,Pelúcia Grande,11,1258.12,1
68,Caderno Universitário,12,1522.73,1
69,Kit de Canetas,12,2319.04,1
70,Mochila Escolar,12,2172.68,1
71,Agenda 2024,12,2501.52,1
72,Estojo Escolar,12,556.59,1
73,Carrinho de Controle Remoto Plus,11,1375.78,1
74,Notebook 15'' Pro,2,1567.58,1
75,Teclado Mecânico Premium,2,672.02,1
76,Livro Infantil Slim,9,379.36,1
77,Romance Best-seller 2.0,9,2101.09,1
78,Liquidificador Pro,7,1459.96,1
79,Estojo Escolar Compacto,12,2010.32,1
80,Air Fryer 4L Compacto,7,955.74,1
81,Smartphone 128GB Compacto,3,1532.57,1
82,Bicicleta Aro 29 Pro,8,895.82,1
83,Jogo de Tabuleiro 2.0,11,2165.91,1
84,Capinha de Celular Premium,3,3321.81,1
85,Batom Matte Pro,10,1551.88,1
86,Pelúcia Grande Compacto,11,1065.41,1
87,Kit de Canetas Slim,12,1113.26,1
88,Luminária de Mesa Plus,6,2438.35,1
89,Kit Shampoo e Condicionador Pro,10,1328.57,1
90,Cafeteira Elétrica Premium,7,3263.49,1
91,Produto com Erro de Cadastro,1,-49.9,1
